id,Ajami,Wolof_attendu,Wolof_predit,category,operations
514,نە,ne,ee,Duplication / répétition,delete | insert
515,"يوداا --دو يوداا يسكارييو دە, بەنەەن لا","Yudaa --du Yudaa Iskariyo de, beneen la","Yuddaa --du Yudaa Iskariyu de, beneen la",Erreur multiple / combinaison,insert | replace
516,ياا ڠي گيس چي مارچهێ بي,Yaa ngi gis ci marché bi,yaa ngi gis ci marché bi,Majuscule / minuscule,replace
517,"بون لاي واخ, جێلە كو چا فا مو دەنچ لو بون.","bon lay wax, jële ko ca fa mu denc lu bon.","bun lay wax, jële ko ca fa mu denc lu bon.",Substitution,replace
518,"ڽو بارە, با چي مان ميي دي واخ اك يێەن.","ñu bare, ba ci man mii di wax ak yéen.","Ñu bare, ba cci man miy di wax ak yéen.",Erreur multiple / combinaison,replace | insert | replace
519,باات ا ڠي خااچو چا مانديڠ ما,Baat a ngi xaacu ca màndiŋ ma,baat a ngi xaacu ca màndiŋ ma,Majuscule / minuscule,replace
520,خوبي,xobi,xubi,Substitution,replace
521,"جاپپولەەن ما. واايە ليي ام نا, ڠير مبيند مي ام.»","jàppuleen ma. Waaye lii am na, ngir Mbind mi am.»","yàppuleen ma. Waaye liy am na, ngir mbind mi am.»",Substitution,replace | replace | replace
522,"ياللا, سانتال دوج ويي مو نەكك مبورو.»","Yàlla, santal doj wii mu nekk mburu.»","yalla, santal doj wiy mu nekk mburu.»",Substitution,replace | replace
523,"تەگ چا نيكانور, تيمون, پارمەناس اك نيكولاس,","teg ca Nikanor, Timon, Parmenas ak Nikolas,","Teg ca nikanur, timon, parmenas ak nikulas,",Substitution,replace | replace | replace | replace | replace | replace | replace
524,دەميين,demiin,demin,Suppression,delete
525,ڽو بارە دەە; واايە ييوو ياللا اك,ñu bare dee; waaye yiwu Yàlla ak,Ñu bare dee; waaye yiwu Yàlla ak,Majuscule / minuscule,replace
526,"ڽو نوپپالو, ني كو يوون وي سانتاانەە.","ñu noppalu, ni ko yoon wi santaanee.","ñu noppalu, ni ku yoon wi santaanee.",Substitution,replace
527,ياو تاميت ام ڠا سولو لوول.,Yaw tamit am nga solo lool.,yaw tamit am nga solo lool.,Majuscule / minuscule,replace
528,"جێلە, تە خام-خام بيي مو يور, لو","jële, te xam-xam bii mu yor, lu","jële, te xam-xam biy mu yur, lu",Substitution,replace | replace
529,"چا, تاكك كو چي بانتو گاراب گو","ca, takk ko ci bantu garab gu","ca, takk ku ci bantu garab gu",Substitution,replace
530,لااج كو اي باتااخال يو موي يۆببول,laaj ko ay bataaxal yu muy yóbbul,Laaj ko ay bataaxal yu muy yóbbul,Majuscule / minuscule,replace
531,"يەەسو دێگگ كاددو يوويو, دالدي نە نجييت","Yeesu dégg kàddu yooyu, daldi ne njiit","Yeesu dégg kàddu yooyu, daldi njiit",Suppression,delete
532,چا بێس با ڽو جاپپ ناگ ەرودد,Ca bés ba ñu jàpp nag Erodd,ca bés ba ñu jàpp nag Erodd,Majuscule / minuscule,replace
533,"ڽێپپ; كي جۆگە چي سووف ناگ, چي","ñépp; ki jóge ci suuf nag, ci","Ñépp; ki jóge ci suuf nag, ci",Majuscule / minuscule,replace
534,فاراندووي,farandooy,Farandooy,Majuscule / minuscule,replace
535,"نداخ سونو كيليفا يي داڽوو خام نە, مووي الماسي بي?","Ndax sunu kilifa yi dañoo xam ne, mooy Almasi bi?","Ndax sunu kilifa yi dañoo xam ne, mooy almasi bi?",Majuscule / minuscule,replace
536,لەەن ا جێببال. دێنك ناا ساما مبير سەساار.»,leen a jébbal. Dénk naa sama mbir Sesaar.»,leen a jébbal. Dënk naa sama mbir sesaar.»,Diacritique / accent,replace | replace
537,"ديندي ناڽو خەەر, وا ڽو كو وبە ووون.","dindi nañu xeer, wa ñu ko ube woon.","dindi nañu xeer, wa ñu ko weewuon.",Erreur multiple / combinaison,insert | delete
538,"نوونو كورنەي نە كو جاكك, دالدي تييت","Noonu Korney ne ko jàkk, daldi tiit","Noonu korney ne ku jàkk, daldi tiit",Substitution,replace | replace
539,بو بااخ بو يەەسو بورووم بي.,bu baax bu Yeesu Boroom bi.,bu baax bu Yeesu boroom bi.,Majuscule / minuscule,replace
540,واايە بي نو ڠەلاو لي سونالەە بو,Waaye bi nu ngelaw li sonalee bu,Waaye bi nu ngelaw li sunalee bu,Substitution,replace
541,وايوومماتو,waywommatu,wayoommatu,Substitution,replace
542,"ناكا لاڽو ڽێو چي كێر نجييت لي,","Naka lañu ñëw ci kër njiit li,","aka lañu ñëw ci kër njiit li,",Suppression,delete
543,"ياووت يا جييڽ. مو سانتاانە نە, ساراخالەكات","Yawut ya jiiñ. Mu santaane ne, saraxalekat","yawut ya jiiñ. Mu santaane ne, saraxalekat",Majuscule / minuscule,replace
544,"«ياو رێەووم سابولون اك رێەووم نەفتالي,دي يوونو","«Yaw réewum Sabulon ak réewum Neftali,di yoonu","«Yaw réewum Sabulon ak réewum neftali,di yoonu",Majuscule / minuscule,replace
545,"""وااو, داما ناڠوو.""","""Waaw, dama nangou.""","""Waaw, dama nanguu.""",Substitution,replace
546,"جييتو, نا توپپ چي گاننااو ڽێپپ تە نەكك سورگاب ڽێپپ.»","jiitu, na topp ci gannaaw ñépp te nekk surgab ñépp.»","yiitu, na topp ci gannaaw ñépp te nekk surgab ñépp.»",Substitution,replace
547,"لێەگي كات لورااڠەە ڠي نوي يووت, تە","Léegi kat loraangee ngi nuy yoot, te","léegi kat luraaŋgee ngi nuy yoot, te",Substitution,replace | replace | replace
548,چووبارەەم تە گيس اجي جوب جي تە ڠا دێگگ اي واخام.,coobareem te gis Aji Jub ji te nga dégg ay waxam.,coobareem te gis aji jub ji te nga dégg ay waxam.,Majuscule / minuscule,replace | replace
549,"نوونو جيگێەن جا واچچ فا نجاقام, دالدي","Noonu jigéen ja wacc fa njaqam, daldi","Noonu jigéen ja wàcc fa njàqam, daldi",Diacritique / accent,replace | replace
550,وەدديوول,weddiwul,weeduul,Erreur multiple / combinaison,insert | replace
551,گێمێدي,gëmëdi,gëmédi,Diacritique / accent,replace
552,"ني بێسي نۆويين يا, نوونو لاي مەل,","Ni bési Nóoyin ya, noonu lay mel,","ni bési nóoyin ya, noonu lay mel,",Majuscule / minuscule,replace | replace
553,واايە ليگگێەيكات يي بارەووڽو. ڽاانلەەن ناگ بورووم,waaye liggéeykat yi barewuñu. Ñaanleen nag Boroom,waaye liggéeykat yi barewuñu. Ñaanleen nag boroom,Majuscule / minuscule,replace
554,"جابار تە دو نجاالوو تاخ, بوو سێيااتەە اك كەنەەن, نجاالوو ڠا.»","jabar te du njaaloo tax, boo séyaatee ak keneen, njaaloo nga.»","yabar te du njaaloo tax, boo sëyaatee ak keneen, njaaloo nga.»",Substitution,replace | replace
555,گاننااو لوولو نا نيت كو نەكك دێگگال,Gannaaw loolu na nit ku nekk déggal,Gannaaw loolu na nit ku nekk dëggal,Diacritique / accent,replace
556,"گيس ڽيي لييت اك توخورو, اك مبوولوو","gis ñiy liit ak toxoro, ak mbooloo","gis ñiy liyt ak toxoru, ak mbooloo",Substitution,replace | replace
557,"مو نە كو: «كەنن, ساڠ بي.» يەەسو","Mu ne ko: «Kenn, Sang bi.» Yeesu","Mu ne ko: «Kenn, sang bi.» Yeesu",Majuscule / minuscule,replace
558,"ڽو ماي كالاامە, ڽووم ياووت يي.","ñu may kalaame, ñoom Yawut yi.","ñu may kalaame, ñoom yawut yi.",Majuscule / minuscule,replace
559,"گا, مارياامام ماگدالا اك ماريااما ما چا","ga, Maryaamam Magdala ak Maryaama ma ca","ga, maryaamam magdala ak Maryaama ma ca",Majuscule / minuscule,replace | replace
560,"يونەنت بو تودد اگابوس جۆگە يودە, اگسي.","yonent bu tudd Agabus jóge Yude, agsi.","yonent bu tudd agabus jóge yude, agsi.",Majuscule / minuscule,replace | replace
561,ڠا واخ كو كەم سا ڠێم;,nga wax ko kem sa ngëm;,nga wax ku kem sa ngëm;,Substitution,replace
562,يارام وي تاڠ نا.,Yaram wi tàng na.,yaram wi tàng na.,Majuscule / minuscule,replace
563,نجاقارە,njàqare,jjàqare,Duplication / répétition,replace
564,مو تونتو كو نە: «وااو بورووم بي.,Mu tontu ko ne: «Waaw Boroom bi.,mu tontu ko ne: «Waaw boroom bi.,Majuscule / minuscule,replace | replace
565,بەنن چوگگال اي ام اك بەنن سامم.,Benn coggal ay am ak benn sàmm.,benn coggal ay am ak benn sàmm.,Majuscule / minuscule,replace
566,"كاييف, يۆببو كو چا كێر بورووم رێەو","Kayif, yóbbu ko ca kër boroom réew","kayif, yóbbu ko ca kër boroom réew",Majuscule / minuscule,replace
567,"مبووس يي, بييڽ بي توورو, مبووس يي ياقو.","mbuus yi, biiñ bi tuuru, mbuus yi yàqu.","mbuus yi, biyñ bi tuuru, mbuus yi yàqu.",Substitution,replace
568,"لاا وار ا دەف, با ام دوند گو دول جەەخ?»","laa war a def, ba am dund gu dul jeex?»","yaa war a def, ba am dund gu dul jeex?»",Substitution,replace
569,نەككاات,nekkaat,ekkaat,Suppression,delete
570,"وێرەە, كون سا يارام وێپپ لەەر. واايە","wéree, kon sa yaram wépp leer. Waaye","wëree, kon sa yaram wépp leer. Waaye",Diacritique / accent,replace
571,چەەب بي ڠي تووگ چي سااي بي.,Ceeb bi ngi toog ci saay bi.,ceeb bi ngi toog ci saay bi.,Majuscule / minuscule,replace
572,"وو بارە, تە اتتە لەەن جوب چي دارا فا كانامام.","wu bare, te àtte leen jub ci dara fa kanamam.","wo bare, te àtte leen jub ci dara fa kanamam.",Substitution,replace
573,«كيي نەە ووون نا: “مان ناا توج,«Kii nee woon na: “Man naa toj,«Kiy nee woon na: “Man naa toj,Substitution,replace
574,“لي نو يور دو دوي ڠير نون,“Li nu yor du doy ngir nun,“Li nu yor du duy ngir nun,Duplication / répétition,replace
575,"بوكك يي, سەەتلەەن سەەن نەككين, بي لەەن","Bokk yi, seetleen seen nekkin, bi leen","bokk yi, seetleen seen nekkin, bi leen",Majuscule / minuscule,replace
576,"نە پيلاات: «بول بيند: “بوورو ياووت,” بيندال","ne Pilaat: «Bul bind: “Buuru Yawut,” bindal","ne Pilaat: «Bul bind: “Buuru yawut,” bindal",Majuscule / minuscule,replace
577,"يۆببو ڠەەن ساخ فو نەكك تانت,بيي ماگگالوكاايو","Yóbbu ngeen sax fu nekk tànt,biy màggalukaayu","yóbbu ngeen sax fu nekk tànt,bii màggalukaayu",Substitution,replace | replace
578,توگگ ناا چەەبو جێن بو نەەخ.,Togg naa ceebu jën bu neex.,togg naa ceebu jën bu neex.,Majuscule / minuscule,replace
579,جامونو دينا ڽێو تە اگسي نا با,jamono dina ñëw te agsi na ba,jamonu dina ñëw te agsi na ba,Substitution,replace
580,چا ێللێگ سا ناگ كيليفاي ياووت يي,Ca ëllëg sa nag kilifay Yawut yi,ca ëllëg sa nag kilifay yawut yi,Majuscule / minuscule,replace | replace
581,"ام نا اي سورگا يو بارە, تە","am na ay surga yu bare, te","Am na ay surga yu bare, te",Majuscule / minuscule,replace
582,"بو لەەن لو بون ێپپ دوولە, واايە","Bu leen lu bon ëpp doole, waaye","bu leen lu bon ëpp doole, waaye",Majuscule / minuscule,replace
583,"تاخ ڠەەن اند, دي دييڠات خەلو بورووم","tax ngeen ànd, di diiŋat Xelu Boroom","tax ngeen ànd, di diiŋat xelu boroom",Majuscule / minuscule,replace | replace
584,"كي جێمبێت ناگ اك كي سووخات, كەنن","Ki jëmbët nag ak ki suuxat, kenn","ki jëmbët nag ak ki suuxat, kenn",Majuscule / minuscule,replace
585,"يێەنەلەەن لو بااخ ڽي لەەن دي مۆولو,","Yéeneleen lu baax ñi leen di móolu,","yéeneleen lu baax ñi leen di móolu,",Majuscule / minuscule,replace
586,فاتوو ماا ڠي جاڠ وولوف,Fatou maa ngi jàng wolof,Fatoo maa ngi jàng wolof,Substitution,replace
587,يۆبب,yóbb,yóóbb,Insertion,insert
588,چي ساا سي اي تانكام اك اي كوستانام دێگێر.,Ci saa si ay tànkam ak ay kostanam dëgër.,ci saa si ay tànkam ak ay kostanam dégër.,Diacritique / accent,replace | replace
589,يي لااج كو چي پەگگ: «لو تاخ,yi laaj ko ci pegg: «Lu tax,yi laaj ko ci pegg:: «Lu tax,Ponctuation,insert
590,مييكااييل,miikaayil,miykaayil,Substitution,replace
591,"دينا كو ينديل جامم. لو كو موي,","dina ko indil jàmm. Lu ko moy,","dina ko indil jàmm. Lu ko muy,",Substitution,replace
592,ماگگالو مبورو يا امول لاويير جەگە ووون,Màggalu Mburu ya amul lawiir jege woon,màggalu mburu ya amul lawiir jege woon,Majuscule / minuscule,replace | replace
593,يەەسو سوپپوون نا مارت اك ماريااما اك لاساار.,Yeesu soppoon na Màrt ak Maryaama ak Lasaar.,yeesu soppoon na mart ak maryaama ak lasaar.,Diacritique / accent,replace | replace | replace | replace
594,"كو گيسە, موي دەم اساماان.»","ko gise, muy dem asamaan.»","ku gise, muy dem asamaan.»",Substitution,replace
595,ڽي جاپپ يەەسو يۆببو كو چي ساراخالەكات,Ñi jàpp Yeesu yóbbu ko ci saraxalekat,ñi jàpp Yeesu yóbbu ko ci saraxalekat,Majuscule / minuscule,replace
596,دێددالە,dëddale,déddale,Diacritique / accent,replace
597,"جالل دەخ گا, دەللو دێككام.","jàll dex ga, dellu dëkkam.","jall dex ga, dellu dëkkam.",Diacritique / accent,replace
598,سوننوون نا لوول چي لوخوي فاجكات يو,Sonnoon na lool ci loxoy fajkat yu,Sunnuon na lool ci loxoy fajkat yu,Substitution,replace | replace
599,دە لا وببيل ساي بێت.» مو نە لەەن: «يونەنت لا.»,de la ubbil say bët.» Mu ne leen: «Yonent la.»,de la ubbil say bët.» Mu ne leen: «Y.»,Suppression,delete
600,مو تونتو نە: «خاوما نداخ بورووم باككاار,Mu tontu ne: «Xawma ndax boroom bàkkaar,mu tontu ne: «Xawma ndax boroom bàkkaar,Majuscule / minuscule,replace
601,"جو تودد داماريس, اك ڽەنەەن.","ju tudd Damaris, ak ñeneen.","ju tudd damaris, ak ñeneen.",Majuscule / minuscule,replace
602,"خوول چي كاو, سانت ياللا. مو دامم","xool ci kaw, sant Yàlla. Mu damm","xool ci kaw, sant yàlla. Mu damm",Majuscule / minuscule,replace
603,كاددو گي تە دەنچ كو چي خول,kàddu gi te denc ko ci xol,kàddu gi te denc ku ci xol,Substitution,replace
604,گەنەەن,geneen,eeneen,Duplication / répétition,replace
605,دوولە دوند چي كاتتانو خەل موومو دێكك چي يێەن.,doole dund ci kàttanu Xel moomu dëkk ci yéen.,doole dund ci kàttanu xel moomu dëkk ci yéen.,Majuscule / minuscule,replace
606,ياللا يۆننيوول دوومام چي اددينا ڠير مو,Yàlla yónniwul Doomam ci àddina ngir mu,Yàlla yónniwul doomam ci àddina ngir mu,Majuscule / minuscule,replace
607,بورووم بي تونتو كو: «ناافێق يي! نداخ,Boroom bi tontu ko: «Naaféq yi! Ndax,boroom bi tontu ko: «Naaféq yi! Ndax,Majuscule / minuscule,replace
608,"نوونو پييەەر اك يوواانا تەگ لەەن لوخو,","Noonu Piyeer ak Yowaana teg leen loxo,","Noonu Piyeer ak yowaana teg leen loxo,",Majuscule / minuscule,replace
609,ياخانتو,yaxantu,Yaxantu,Majuscule / minuscule,replace
610,"چي كاو لوولو ڽو بارە گێدد كو,","Ci kaw loolu ñu bare gëdd ko,","ci kaw loolu ñu bare gëdd ko,",Majuscule / minuscule,replace
611,ميين,miin,miyn,Substitution,replace
612,"جوللي نا چي ڽەەنتي خەبلا يێپپ,سەەن واخ وێر نا اددينا سێپپ.»","jolli na ci ñeenti xebla yépp,seen wax wër na àddina sépp.»","yulli na ci ñeenti xebla yépp,seen wax wér na dàddina addina sépp.»",Erreur multiple / combinaison,replace | replace | insert | insert
613,ڽوي جاڠ بێسو نوفلااي بو نەكك; تەەوول,ñuy jàng bésu noflaay bu nekk; teewul,Ñuy jàng bésu noflaay bu nekk; teewul,Majuscule / minuscule,replace
614,يدرييسا,idriisa,diriisa,Erreur multiple / combinaison,insert | delete
615,"چي نجاالوو, ياا كوي تەگتال يوونو نجاالوو.","ci njaaloo, yaa koy tegtal yoonu njaaloo.","ci njaaloo, yaa kuy tegtal yoonu njaaloo.",Substitution,replace
616,"نانو نە, دونو موس دارا, با كەرا نوي رەي پوول.","nanu ne, dunu mos dara, ba kera nuy rey Pool.","yanu ne, dunu Mus dara, ba kera nuy rey pool.",Substitution,replace | replace | replace
617,چي كاو لوولو مو نە سورگا يا:,Ci kaw loolu mu ne surga ya:,ci kaw loolu mu ne surga ya:,Majuscule / minuscule,replace
618,گێننلەەن,génnleen,gënnleen,Diacritique / accent,replace
619,وێرال,wéral,wëral,Diacritique / accent,replace
620,"تە ماريااما گيس نا كو, گێموڽو كو.","te Maryaama gis na ko, gëmuñu ko.","te maryaama gis na ko, gëmuñu ko.",Majuscule / minuscule,replace
621,"تييم سووف, ديناا وووتال نيت ڽێپپ چي مان.»","tiim suuf, dinaa wootal nit ñépp ci man.»","yimm suuf, dinaa wootal nit ñépp ci man.»",Substitution,replace | replace
622,بێسي لايوو اك ڽو ييليف رێەو مي;,bési layoo ak ñu yilif réew mi;,Bési layoo ak ñu yilif réew mi;,Majuscule / minuscule,replace
623,"دييواانو يتورە اك بو تاراكونيت, تە ليساڽاس ييليف ابيلەن.","diiwaanu Iture ak bu Tarakonit, te Lisañas yilif Abilen.","Yiiwaanu iture ak bu tarakunit, te lisañas yilif abilef.",Substitution,replace | replace | replace | replace | replace | replace | replace
624,ڽو رەەتاان.,Ñu reetaan.,ñu reetaan.,Majuscule / minuscule,replace
625,ناكا سا دووم.,Naka sa doom.,naka sa doom.,Majuscule / minuscule,replace
626,"لوولو ام با موي ڽەتتي يوون, با","Loolu am ba muy ñetti yoon, ba","loolu am ba muy ñetti yoon, ba",Majuscule / minuscule,replace
627,نجێگ گي بانني يسراييل خايما ووون چي نيت كي;,njëg gi bànni Israyil xayma woon ci nit ki;,njég gi banni Israyil xayma woon ci nit ki;,Diacritique / accent,replace | replace
628,اڤونس,avons,awuns,Substitution,replace
629,"واايە بەنەەن تااليبە با راو پييەەر, جێكك كو چا باممەەل با.","waaye beneen taalibe ba raw Piyeer, jëkk ko ca bàmmeel ba.","waaye beneen taalibe ba raw piyeer, jëkk ko ca bàmmeel ba.",Majuscule / minuscule,replace
630,ما فيتناال? ڠاي بێرە اك مان ني,ma fitnaal? Ngay bëre ak man ni,ma fitnaal? Ngay bére ak man ni,Diacritique / accent,replace
631,"سەەتلەەن بو بااخ, ني ڠەەن دي دێگلوو","Seetleen bu baax, ni ngeen di dégloo","seetleen bu baax, ni ngeen di dégluw",Substitution,replace | replace
632,مايەە,mayee,Ayee,Substitution,replace
633,"مبوولوو مو بارە توپپ چي مووم, نداختە","Mbooloo mu bare topp ci moom, ndaxte","mbooloo mu bare topp ci moom, ndaxte",Majuscule / minuscule,replace
634,تاللال,tàllal,tallal,Diacritique / accent,replace
635,"بي كو موساا گيسەە, مو دالدي واارو","Bi ko Musaa gisee, mu daldi waaru","Bi ko musaa gisee, mu daldi waaru",Majuscule / minuscule,replace
636,"ا تەگ بەنەەن يەن, لو دول دێنكاانە ييي ام نجاريڽ,","a teg beneen yen, lu dul dénkaane yii am njariñ,","a teg beneen yen, lu dul dënkaane yiy am njariñ,",Substitution,replace | replace
637,بەنن بێسو نوفلااي يەەسوو ڠي دوون جاڠالە چي اب جاڠو.,Benn bésu noflaay Yeesoo ngi doon jàngale ci ab jàngu.,benn bésu noflaay yeesoo ngi doon jàngale ci ab jàngu.,Majuscule / minuscule,replace | replace
638,نداختەلەە,ndaxtelee,Ndaxtelee,Majuscule / minuscule,replace
639,"كون ڽو دالدي تەگگي كاو كێر گي,","Kon ñu daldi teggi kaw kër gi,","kon ñu daldi teggi kaw kër gi,",Majuscule / minuscule,replace
640,"پييەەر توپپ كو فو سورە, با چي","Piyeer topp ko fu sore, ba ci","Piyeer topp ku fu sore, ba ci",Substitution,replace
641,يەەسو وووتە اك كاددو گو دێگێر ناان:,Yeesu woote ak kàddu gu dëgër naan:,Yeesu woote ak kàddu gu dégër naan:,Diacritique / accent,replace
642,چي كێر ياللا گي اك كي چي دێكك.,ci kër Yàlla gi ak Ki ci dëkk.,ci kër Yàlla gi ak ki ci dëkk.,Majuscule / minuscule,replace
643,ماڠي لاي ڽاانال يەنە كوو باكه اك جامم.,Mangi lay ñaanal yene kou bakh ak jamm.,màngi lay ñaanal yene koo bàkk ak jàmm.,Substitution,replace | replace | replace | replace | replace
644,"بوومام. لێەگي ناگ نو ڠي جاامو ياللا,","buumam. Léegi nag nu ngi jaamu Yàlla,","boomam. Léegi nag nu ngi jaamu Yàlla,",Substitution,replace
645,"كەنن كا, مو دێنك كو جورۆومي ميليوڠ,","Kenn ka, mu dénk ko juróomi milyoŋ,","kenn ka, mu dénk ko juróomi miliwŋ,",Substitution,replace | replace
646,"مو ووويە بووانەرسەس, مااناام «ڽي اايتال ني دێننو گي» —","mu wooye Bowanerses, maanaam «Ñi aaytal ni dënnu gi» —","mu wooye booanerses, maanaam «Ñi aaytal ni dénnu gi» —",Substitution,replace | replace | replace
647,بێگلە,bégle,bëgle,Diacritique / accent,replace
648,كي دينا ڽێو چي واختو وو ڠەەن كو سێەنووول.»,ki dina ñëw ci waxtu wu ngeen ko séenuwul.»,yi dina ñëw ci waxtu wu ngeen ko séenooul.»,Substitution,replace | replace
649,مالااكا ما نە كو: «سولال سا مبوبب تە توپپ چي مان.»,Malaaka ma ne ko: «Solal sa mbubb te topp ci man.»,yalaaka ma ne ko: «Solal sa mbubb te topp ci man.»,Substitution,replace
650,"مي, مو ييليف كو مووم اك اسكانام, فەكك بووبا اماگول دووم.","mi, mu yilif ko moom ak askanam, fekk booba amagul doom.","mi, mu yilif ku moom ak askanam, fekk booba amagul doom.",Substitution,replace
651,لو ڠاي دەف چي ساما ليگگێەي.,Lu ngay def ci sama liggéey.,lu ngay def ci sama liggéey.,Majuscule / minuscule,replace
652,"سو فەككەە سا ڠێم دێگێر نا, وونە","Su fekkee sa ngëm dëgër na, wone","su fekkee sa ngëm dëgër na, wone",Majuscule / minuscule,replace
653,"بي نيت ڽووڽو دي سورە يەەسو, پييەەر","Bi nit ñooñu di sore Yeesu, Piyeer","Bi nit ñooñu di sure Yeesu, Piyeer",Substitution,replace
654,"لێەگي ماا ڠي گێنن اددينا, فەككي بااي بي.»","Léegi maa ngi génn àddina, fekki Baay bi.»","léegi maa ngi génn addina, fekki baay bi.»",Diacritique / accent,replace | replace | replace
655,سامپ,samp,sàmp,Diacritique / accent,replace
656,لوي سا تودد.,Luy sa tudd.,luy sa tudd.,Majuscule / minuscule,replace
657,جانت بي واچچ نا چي گوددي گي,Jant bi wàcc na ci guddi gi,jant bi wàcc na ci guddi gi,Majuscule / minuscule,replace
658,"كو يێەنەە بيندال, نەتتالي لا ني خەو-خەو يوويو دەمە ووون تەمبە.","ko yéenee bindal, nettali la ni xew-xew yooyu deme woon tembe.","ké yéenee bindal, nettali la ni xew-xew yooyuddimbo.N tembe.",Erreur multiple / combinaison,replace | delete | replace | replace | replace
659,"موي نەلاو واللا موي خوول, گوددي مباا","Muy nelaw walla muy xool, guddi mbaa","yuy nelaw walla muy xool, guddi mbaa",Substitution,replace
660,«داماا ڽێو ڠير يندي سافارا سي چي,«Damaa ñëw ngir indi safara si ci,«Damaa ñëw ngir yidi safara si ci,Erreur multiple / combinaison,insert | delete
661,باننەەخام,bànneexam,banneexam,Diacritique / accent,replace
662,ماتتوم,mattum,màttum,Diacritique / accent,replace
663,"دێكك يەروسالەم اك دييواانو يودە, اك واا دەخو يوردان.","dëkk Yerusalem ak diiwaanu Yude, ak waa dexu Yurdan.","dëkk Yerusalem ak diiwaanu Yude, ak waa dexu yurdan.",Majuscule / minuscule,replace
664,ندابب لو خەەڽ لو ڽوي واخ ميير.,ndàbb lu xeeñ lu ñuy wax miir.,Ndàbb lu xeeñ lu ñuy wax Miyr.,Substitution,replace | replace | replace
665,ويچچاخ,wiccax,wcccax,Substitution,replace
666,"ماگگ? يونەنت يي يتام فااتو ناڽو. وااو, لوو تەگ سا بوپپ?»","màgg? Yonent yi itam faatu nañu. Waaw, loo teg sa bopp?»","yàgg? yonent yi itam faatu nañu. Woa , lu teg sa bopp?»",Erreur multiple / combinaison,replace | replace | insert | replace | replace
667,نداختە چي ساما بيير خول يوونو ياللا وي نەەخ نا ما.,Ndaxte ci sama biir xol yoonu Yàlla wi neex na ma.,ndaxte ci sama biir xol yoonu Yàlla wal,Erreur multiple / combinaison,replace | delete | replace
668,"دوگگ چي گاال, دي جالل دەخ گي,","dugg ci gaal, di jàll dex gi,","dugg ci gaal, di jall dex gi,",Diacritique / accent,replace
669,كي جوت كاددو گي چي سووف سو,Ki jot kàddu gi ci suuf su,ki jot kàddu gi ci suuf su,Majuscule / minuscule,replace
670,"نيت ڽاا ڠا جاپپوون يەەسو, دي كو","Nit ñaa nga jàppoon Yeesu, di ko","nit ñaa nga jàppoon Yeesu, di ko",Majuscule / minuscule,replace
671,دەفەووكو,defewuko,defewuku,Substitution,replace
672,بي ڽو چا تەگەە لوي توللووك ايو-بێس,Bi ñu ca tegee luy tollook ayu-bés,Bi ñu ca tegee luy tollook ayu--bés,Ponctuation,insert
673,نوييوو,nuyyoo,Nuyyoo,Majuscule / minuscule,replace
674,"ماي نەكك اددينا, ڠير ڽو فەەس اك ساما مبێگ.","may nekk àddina, ngir ñu fees ak sama mbég.","may nekk addina, ngir ñu fees ak sama mbég.",Diacritique / accent,replace
675,فوڽ,foñ,fuñ,Substitution,replace
676,"بو ساما كيليفتەەف نەككوون اددينا, ساما سورگا","Bu sama kilifteef nekkoon àddina, sama surga","Bu sama kilifteef nekkoon addina, sama surga",Diacritique / accent,replace
677,"لو ڠەەن ڽاان چي ساما تور, ماا كوي دەف.","Lu ngeen ñaan ci sama tur, maa koy def.","lu ngeen ñaan ci sama tur, maa koy def.",Majuscule / minuscule,replace
678,"بااي با, جوت نا. كو بێگگ ڽوڽام","Baay ba, jot na. Ku bëgg ñoñam","baay ba, jot na. Ku bëgg ñuñam",Substitution,replace | replace
679,مووما,muuma,mooma,Substitution,replace
680,بي ما بااي بي سێدد?»,bi ma Baay bi sédd?»,bi ma baay bi sédd?»,Majuscule / minuscule,replace
681,"خەەج, جام كو كو چي وەت, چا","xeej, jam ko ko ci wet, ca","xeej, jam ku ko ci wet, ca",Substitution,replace
682,واايە ياخيا يەدد نا ەرودد بورووم دييواانو,Waaye Yaxya yedd na Erodd boroom diiwaanu,waaye Yaxya yedd na Erodd boroom diiwaanu,Majuscule / minuscule,replace
683,مان ا دەم اي اتي ات; نوپپالال,man a dem ay ati at; noppalal,man a dem ay àti at; noppalal,Diacritique / accent,replace
684,"ڽيببي ناڽو, بەنن مالااكام بورووم بي فەەڽو","ñibbi nañu, benn malaakam Boroom bi feeñu","Ñibbi nañu, benn malaakam boroom bi feeñu",Majuscule / minuscule,replace | replace
685,"نە كو: «ساڠ بي, سوو كو بێگگەە, مان ڠا ماا فاج.»","ne ko: «Sang bi, soo ko bëggee, man nga maa faj.»","ye ko: «Sang bi, suu ko bëggee, man nga maa faj.»",Substitution,replace | replace
686,تێەن,téen,éeen,Duplication / répétition,delete | insert
687,"ياللا تاكك ناگ, بو كو نيت تاس.»","Yàlla takk nag, bu ko nit tas.»","yalla takk nag, bu ko nit tas.»",Diacritique / accent,replace
688,"فووگە, نداختە نو ڠي چي يوور-يوور رەكك.","fooge, ndaxte nu ngi ci yoor-yoor rekk.","fooge, ndaxte nu ngi ci yuur-yoor rekk.",Substitution,replace
