Ajami,Wolof_attendu,Wolof_predit,categorie_audit
"ناكا لاڽو ڽێو چي كێر نجييت لي,","Naka lañu ñëw ci kër njiit li,","aka lañu ñëw ci kër njiit li,",Erreur linguistique / structurelle
"ياووت يا جييڽ. مو سانتاانە نە, ساراخالەكات","Yawut ya jiiñ. Mu santaane ne, saraxalekat","yawut ya jiiñ. Mu santaane ne, saraxalekat",Casse uniquement
"«ياو رێەووم سابولون اك رێەووم نەفتالي,دي يوونو","«Yaw réewum Sabulon ak réewum Neftali,di yoonu","«Yaw réewum Sabulon ak réewum neftali,di yoonu",Casse uniquement
"""وااو, داما ناڠوو.""","""Waaw, dama nangou.""","""Waaw, dama nanguu.""",Erreur linguistique / structurelle
"جييتو, نا توپپ چي گاننااو ڽێپپ تە نەكك سورگاب ڽێپپ.»","jiitu, na topp ci gannaaw ñépp te nekk surgab ñépp.»","yiitu, na topp ci gannaaw ñépp te nekk surgab ñépp.»",Erreur linguistique / structurelle
"لێەگي كات لورااڠەە ڠي نوي يووت, تە","Léegi kat loraangee ngi nuy yoot, te","léegi kat luraaŋgee ngi nuy yoot, te",Erreur linguistique / structurelle
چووبارەەم تە گيس اجي جوب جي تە ڠا دێگگ اي واخام.,coobareem te gis Aji Jub ji te nga dégg ay waxam.,coobareem te gis aji jub ji te nga dégg ay waxam.,Casse uniquement
"نوونو جيگێەن جا واچچ فا نجاقام, دالدي","Noonu jigéen ja wacc fa njaqam, daldi","Noonu jigéen ja wàcc fa njàqam, daldi",Diacritique uniquement
وەدديوول,weddiwul,weeduul,Erreur linguistique / structurelle
گێمێدي,gëmëdi,gëmédi,Diacritique uniquement
"ني بێسي نۆويين يا, نوونو لاي مەل,","Ni bési Nóoyin ya, noonu lay mel,","ni bési nóoyin ya, noonu lay mel,",Casse uniquement
واايە ليگگێەيكات يي بارەووڽو. ڽاانلەەن ناگ بورووم,waaye liggéeykat yi barewuñu. Ñaanleen nag Boroom,waaye liggéeykat yi barewuñu. Ñaanleen nag boroom,Casse uniquement
"جابار تە دو نجاالوو تاخ, بوو سێيااتەە اك كەنەەن, نجاالوو ڠا.»","jabar te du njaaloo tax, boo séyaatee ak keneen, njaaloo nga.»","yabar te du njaaloo tax, boo sëyaatee ak keneen, njaaloo nga.»",Erreur linguistique / structurelle
گاننااو لوولو نا نيت كو نەكك دێگگال,Gannaaw loolu na nit ku nekk déggal,Gannaaw loolu na nit ku nekk dëggal,Diacritique uniquement
"گيس ڽيي لييت اك توخورو, اك مبوولوو","gis ñiy liit ak toxoro, ak mbooloo","gis ñiy liyt ak toxoru, ak mbooloo",Erreur linguistique / structurelle
"مو نە كو: «كەنن, ساڠ بي.» يەەسو","Mu ne ko: «Kenn, Sang bi.» Yeesu","Mu ne ko: «Kenn, sang bi.» Yeesu",Casse uniquement
"ڽو ماي كالاامە, ڽووم ياووت يي.","ñu may kalaame, ñoom Yawut yi.","ñu may kalaame, ñoom yawut yi.",Casse uniquement
"گا, مارياامام ماگدالا اك ماريااما ما چا","ga, Maryaamam Magdala ak Maryaama ma ca","ga, maryaamam magdala ak Maryaama ma ca",Casse uniquement
"يونەنت بو تودد اگابوس جۆگە يودە, اگسي.","yonent bu tudd Agabus jóge Yude, agsi.","yonent bu tudd agabus jóge yude, agsi.",Casse uniquement
ڠا واخ كو كەم سا ڠێم;,nga wax ko kem sa ngëm;,nga wax ku kem sa ngëm;,Erreur linguistique / structurelle
يارام وي تاڠ نا.,Yaram wi tàng na.,yaram wi tàng na.,Casse uniquement
نجاقارە,njàqare,jjàqare,Erreur linguistique / structurelle
مو تونتو كو نە: «وااو بورووم بي.,Mu tontu ko ne: «Waaw Boroom bi.,mu tontu ko ne: «Waaw boroom bi.,Casse uniquement
بەنن چوگگال اي ام اك بەنن سامم.,Benn coggal ay am ak benn sàmm.,benn coggal ay am ak benn sàmm.,Casse uniquement
"كاييف, يۆببو كو چا كێر بورووم رێەو","Kayif, yóbbu ko ca kër boroom réew","kayif, yóbbu ko ca kër boroom réew",Casse uniquement
"مبووس يي, بييڽ بي توورو, مبووس يي ياقو.","mbuus yi, biiñ bi tuuru, mbuus yi yàqu.","mbuus yi, biyñ bi tuuru, mbuus yi yàqu.",Erreur linguistique / structurelle
"لاا وار ا دەف, با ام دوند گو دول جەەخ?»","laa war a def, ba am dund gu dul jeex?»","yaa war a def, ba am dund gu dul jeex?»",Erreur linguistique / structurelle
نەككاات,nekkaat,ekkaat,Erreur linguistique / structurelle
"وێرەە, كون سا يارام وێپپ لەەر. واايە","wéree, kon sa yaram wépp leer. Waaye","wëree, kon sa yaram wépp leer. Waaye",Diacritique uniquement
چەەب بي ڠي تووگ چي سااي بي.,Ceeb bi ngi toog ci saay bi.,ceeb bi ngi toog ci saay bi.,Casse uniquement
"وو بارە, تە اتتە لەەن جوب چي دارا فا كانامام.","wu bare, te àtte leen jub ci dara fa kanamam.","wo bare, te àtte leen jub ci dara fa kanamam.",Erreur linguistique / structurelle
«كيي نەە ووون نا: “مان ناا توج,«Kii nee woon na: “Man naa toj,«Kiy nee woon na: “Man naa toj,Erreur linguistique / structurelle
“لي نو يور دو دوي ڠير نون,“Li nu yor du doy ngir nun,“Li nu yor du duy ngir nun,Erreur linguistique / structurelle
"بوكك يي, سەەتلەەن سەەن نەككين, بي لەەن","Bokk yi, seetleen seen nekkin, bi leen","bokk yi, seetleen seen nekkin, bi leen",Casse uniquement
"نە پيلاات: «بول بيند: “بوورو ياووت,” بيندال","ne Pilaat: «Bul bind: “Buuru Yawut,” bindal","ne Pilaat: «Bul bind: “Buuru yawut,” bindal",Casse uniquement
"يۆببو ڠەەن ساخ فو نەكك تانت,بيي ماگگالوكاايو","Yóbbu ngeen sax fu nekk tànt,biy màggalukaayu","yóbbu ngeen sax fu nekk tànt,bii màggalukaayu",Erreur linguistique / structurelle
توگگ ناا چەەبو جێن بو نەەخ.,Togg naa ceebu jën bu neex.,togg naa ceebu jën bu neex.,Casse uniquement
جامونو دينا ڽێو تە اگسي نا با,jamono dina ñëw te agsi na ba,jamonu dina ñëw te agsi na ba,Erreur linguistique / structurelle
چا ێللێگ سا ناگ كيليفاي ياووت يي,Ca ëllëg sa nag kilifay Yawut yi,ca ëllëg sa nag kilifay yawut yi,Casse uniquement
"ام نا اي سورگا يو بارە, تە","am na ay surga yu bare, te","Am na ay surga yu bare, te",Casse uniquement
"بو لەەن لو بون ێپپ دوولە, واايە","Bu leen lu bon ëpp doole, waaye","bu leen lu bon ëpp doole, waaye",Casse uniquement
"تاخ ڠەەن اند, دي دييڠات خەلو بورووم","tax ngeen ànd, di diiŋat Xelu Boroom","tax ngeen ànd, di diiŋat xelu boroom",Casse uniquement
"كي جێمبێت ناگ اك كي سووخات, كەنن","Ki jëmbët nag ak ki suuxat, kenn","ki jëmbët nag ak ki suuxat, kenn",Casse uniquement
"يێەنەلەەن لو بااخ ڽي لەەن دي مۆولو,","Yéeneleen lu baax ñi leen di móolu,","yéeneleen lu baax ñi leen di móolu,",Casse uniquement
فاتوو ماا ڠي جاڠ وولوف,Fatou maa ngi jàng wolof,Fatoo maa ngi jàng wolof,Erreur linguistique / structurelle
يۆبب,yóbb,yóóbb,Erreur linguistique / structurelle
چي ساا سي اي تانكام اك اي كوستانام دێگێر.,Ci saa si ay tànkam ak ay kostanam dëgër.,ci saa si ay tànkam ak ay kostanam dégër.,Casse + diacritique
يي لااج كو چي پەگگ: «لو تاخ,yi laaj ko ci pegg: «Lu tax,yi laaj ko ci pegg:: «Lu tax,Ponctuation uniquement
مييكااييل,miikaayil,miykaayil,Erreur linguistique / structurelle
"دينا كو ينديل جامم. لو كو موي,","dina ko indil jàmm. Lu ko moy,","dina ko indil jàmm. Lu ko muy,",Erreur linguistique / structurelle
ماگگالو مبورو يا امول لاويير جەگە ووون,Màggalu Mburu ya amul lawiir jege woon,màggalu mburu ya amul lawiir jege woon,Casse uniquement
يەەسو سوپپوون نا مارت اك ماريااما اك لاساار.,Yeesu soppoon na Màrt ak Maryaama ak Lasaar.,yeesu soppoon na mart ak maryaama ak lasaar.,Casse + diacritique
"كو گيسە, موي دەم اساماان.»","ko gise, muy dem asamaan.»","ku gise, muy dem asamaan.»",Erreur linguistique / structurelle
ڽي جاپپ يەەسو يۆببو كو چي ساراخالەكات,Ñi jàpp Yeesu yóbbu ko ci saraxalekat,ñi jàpp Yeesu yóbbu ko ci saraxalekat,Casse uniquement
دێددالە,dëddale,déddale,Diacritique uniquement
"جالل دەخ گا, دەللو دێككام.","jàll dex ga, dellu dëkkam.","jall dex ga, dellu dëkkam.",Diacritique uniquement
سوننوون نا لوول چي لوخوي فاجكات يو,Sonnoon na lool ci loxoy fajkat yu,Sunnuon na lool ci loxoy fajkat yu,Erreur linguistique / structurelle
دە لا وببيل ساي بێت.» مو نە لەەن: «يونەنت لا.»,de la ubbil say bët.» Mu ne leen: «Yonent la.»,de la ubbil say bët.» Mu ne leen: «Y.»,Erreur linguistique / structurelle
مو تونتو نە: «خاوما نداخ بورووم باككاار,Mu tontu ne: «Xawma ndax boroom bàkkaar,mu tontu ne: «Xawma ndax boroom bàkkaar,Casse uniquement
"جو تودد داماريس, اك ڽەنەەن.","ju tudd Damaris, ak ñeneen.","ju tudd damaris, ak ñeneen.",Casse uniquement
"خوول چي كاو, سانت ياللا. مو دامم","xool ci kaw, sant Yàlla. Mu damm","xool ci kaw, sant yàlla. Mu damm",Casse uniquement
كاددو گي تە دەنچ كو چي خول,kàddu gi te denc ko ci xol,kàddu gi te denc ku ci xol,Erreur linguistique / structurelle
گەنەەن,geneen,eeneen,Erreur linguistique / structurelle
دوولە دوند چي كاتتانو خەل موومو دێكك چي يێەن.,doole dund ci kàttanu Xel moomu dëkk ci yéen.,doole dund ci kàttanu xel moomu dëkk ci yéen.,Casse uniquement
ياللا يۆننيوول دوومام چي اددينا ڠير مو,Yàlla yónniwul Doomam ci àddina ngir mu,Yàlla yónniwul doomam ci àddina ngir mu,Casse uniquement
بورووم بي تونتو كو: «ناافێق يي! نداخ,Boroom bi tontu ko: «Naaféq yi! Ndax,boroom bi tontu ko: «Naaféq yi! Ndax,Casse uniquement
"نوونو پييەەر اك يوواانا تەگ لەەن لوخو,","Noonu Piyeer ak Yowaana teg leen loxo,","Noonu Piyeer ak yowaana teg leen loxo,",Casse uniquement
ياخانتو,yaxantu,Yaxantu,Casse uniquement
"چي كاو لوولو ڽو بارە گێدد كو,","Ci kaw loolu ñu bare gëdd ko,","ci kaw loolu ñu bare gëdd ko,",Casse uniquement
ميين,miin,miyn,Erreur linguistique / structurelle
"جوللي نا چي ڽەەنتي خەبلا يێپپ,سەەن واخ وێر نا اددينا سێپپ.»","jolli na ci ñeenti xebla yépp,seen wax wër na àddina sépp.»","yulli na ci ñeenti xebla yépp,seen wax wér na dàddina addina sépp.»",Erreur linguistique / structurelle
ڽوي جاڠ بێسو نوفلااي بو نەكك; تەەوول,ñuy jàng bésu noflaay bu nekk; teewul,Ñuy jàng bésu noflaay bu nekk; teewul,Casse uniquement
يدرييسا,idriisa,diriisa,Erreur linguistique / structurelle
"چي نجاالوو, ياا كوي تەگتال يوونو نجاالوو.","ci njaaloo, yaa koy tegtal yoonu njaaloo.","ci njaaloo, yaa kuy tegtal yoonu njaaloo.",Erreur linguistique / structurelle
"نانو نە, دونو موس دارا, با كەرا نوي رەي پوول.","nanu ne, dunu mos dara, ba kera nuy rey Pool.","yanu ne, dunu Mus dara, ba kera nuy rey pool.",Erreur linguistique / structurelle
چي كاو لوولو مو نە سورگا يا:,Ci kaw loolu mu ne surga ya:,ci kaw loolu mu ne surga ya:,Casse uniquement
گێننلەەن,génnleen,gënnleen,Diacritique uniquement
وێرال,wéral,wëral,Diacritique uniquement
"تە ماريااما گيس نا كو, گێموڽو كو.","te Maryaama gis na ko, gëmuñu ko.","te maryaama gis na ko, gëmuñu ko.",Casse uniquement
"تييم سووف, ديناا وووتال نيت ڽێپپ چي مان.»","tiim suuf, dinaa wootal nit ñépp ci man.»","yimm suuf, dinaa wootal nit ñépp ci man.»",Erreur linguistique / structurelle
بێسي لايوو اك ڽو ييليف رێەو مي;,bési layoo ak ñu yilif réew mi;,Bési layoo ak ñu yilif réew mi;,Casse uniquement
"دييواانو يتورە اك بو تاراكونيت, تە ليساڽاس ييليف ابيلەن.","diiwaanu Iture ak bu Tarakonit, te Lisañas yilif Abilen.","Yiiwaanu iture ak bu tarakunit, te lisañas yilif abilef.",Erreur linguistique / structurelle
ڽو رەەتاان.,Ñu reetaan.,ñu reetaan.,Casse uniquement
ناكا سا دووم.,Naka sa doom.,naka sa doom.,Casse uniquement
"لوولو ام با موي ڽەتتي يوون, با","Loolu am ba muy ñetti yoon, ba","loolu am ba muy ñetti yoon, ba",Casse uniquement
نجێگ گي بانني يسراييل خايما ووون چي نيت كي;,njëg gi bànni Israyil xayma woon ci nit ki;,njég gi banni Israyil xayma woon ci nit ki;,Diacritique uniquement
اڤونس,avons,awuns,Erreur linguistique / structurelle
"واايە بەنەەن تااليبە با راو پييەەر, جێكك كو چا باممەەل با.","waaye beneen taalibe ba raw Piyeer, jëkk ko ca bàmmeel ba.","waaye beneen taalibe ba raw piyeer, jëkk ko ca bàmmeel ba.",Casse uniquement
ما فيتناال? ڠاي بێرە اك مان ني,ma fitnaal? Ngay bëre ak man ni,ma fitnaal? Ngay bére ak man ni,Diacritique uniquement
"سەەتلەەن بو بااخ, ني ڠەەن دي دێگلوو","Seetleen bu baax, ni ngeen di dégloo","seetleen bu baax, ni ngeen di dégluw",Erreur linguistique / structurelle
مايەە,mayee,Ayee,Erreur linguistique / structurelle
"مبوولوو مو بارە توپپ چي مووم, نداختە","Mbooloo mu bare topp ci moom, ndaxte","mbooloo mu bare topp ci moom, ndaxte",Casse uniquement
تاللال,tàllal,tallal,Diacritique uniquement
"بي كو موساا گيسەە, مو دالدي واارو","Bi ko Musaa gisee, mu daldi waaru","Bi ko musaa gisee, mu daldi waaru",Casse uniquement
"ا تەگ بەنەەن يەن, لو دول دێنكاانە ييي ام نجاريڽ,","a teg beneen yen, lu dul dénkaane yii am njariñ,","a teg beneen yen, lu dul dënkaane yiy am njariñ,",Erreur linguistique / structurelle
بەنن بێسو نوفلااي يەەسوو ڠي دوون جاڠالە چي اب جاڠو.,Benn bésu noflaay Yeesoo ngi doon jàngale ci ab jàngu.,benn bésu noflaay yeesoo ngi doon jàngale ci ab jàngu.,Casse uniquement
نداختەلەە,ndaxtelee,Ndaxtelee,Casse uniquement
"كون ڽو دالدي تەگگي كاو كێر گي,","Kon ñu daldi teggi kaw kër gi,","kon ñu daldi teggi kaw kër gi,",Casse uniquement
"پييەەر توپپ كو فو سورە, با چي","Piyeer topp ko fu sore, ba ci","Piyeer topp ku fu sore, ba ci",Erreur linguistique / structurelle
يەەسو وووتە اك كاددو گو دێگێر ناان:,Yeesu woote ak kàddu gu dëgër naan:,Yeesu woote ak kàddu gu dégër naan:,Diacritique uniquement
چي كێر ياللا گي اك كي چي دێكك.,ci kër Yàlla gi ak Ki ci dëkk.,ci kër Yàlla gi ak ki ci dëkk.,Casse uniquement
ماڠي لاي ڽاانال يەنە كوو باكه اك جامم.,Mangi lay ñaanal yene kou bakh ak jamm.,màngi lay ñaanal yene koo bàkk ak jàmm.,Erreur linguistique / structurelle
"بوومام. لێەگي ناگ نو ڠي جاامو ياللا,","buumam. Léegi nag nu ngi jaamu Yàlla,","boomam. Léegi nag nu ngi jaamu Yàlla,",Erreur linguistique / structurelle
"كەنن كا, مو دێنك كو جورۆومي ميليوڠ,","Kenn ka, mu dénk ko juróomi milyoŋ,","kenn ka, mu dénk ko juróomi miliwŋ,",Erreur linguistique / structurelle
"مو ووويە بووانەرسەس, مااناام «ڽي اايتال ني دێننو گي» —","mu wooye Bowanerses, maanaam «Ñi aaytal ni dënnu gi» —","mu wooye booanerses, maanaam «Ñi aaytal ni dénnu gi» —",Erreur linguistique / structurelle
بێگلە,bégle,bëgle,Diacritique uniquement
كي دينا ڽێو چي واختو وو ڠەەن كو سێەنووول.»,ki dina ñëw ci waxtu wu ngeen ko séenuwul.»,yi dina ñëw ci waxtu wu ngeen ko séenooul.»,Erreur linguistique / structurelle
مالااكا ما نە كو: «سولال سا مبوبب تە توپپ چي مان.»,Malaaka ma ne ko: «Solal sa mbubb te topp ci man.»,yalaaka ma ne ko: «Solal sa mbubb te topp ci man.»,Erreur linguistique / structurelle
"مي, مو ييليف كو مووم اك اسكانام, فەكك بووبا اماگول دووم.","mi, mu yilif ko moom ak askanam, fekk booba amagul doom.","mi, mu yilif ku moom ak askanam, fekk booba amagul doom.",Erreur linguistique / structurelle
لو ڠاي دەف چي ساما ليگگێەي.,Lu ngay def ci sama liggéey.,lu ngay def ci sama liggéey.,Casse uniquement
"سو فەككەە سا ڠێم دێگێر نا, وونە","Su fekkee sa ngëm dëgër na, wone","su fekkee sa ngëm dëgër na, wone",Casse uniquement
"بي نيت ڽووڽو دي سورە يەەسو, پييەەر","Bi nit ñooñu di sore Yeesu, Piyeer","Bi nit ñooñu di sure Yeesu, Piyeer",Erreur linguistique / structurelle
"لێەگي ماا ڠي گێنن اددينا, فەككي بااي بي.»","Léegi maa ngi génn àddina, fekki Baay bi.»","léegi maa ngi génn addina, fekki baay bi.»",Casse + diacritique
سامپ,samp,sàmp,Diacritique uniquement
لوي سا تودد.,Luy sa tudd.,luy sa tudd.,Casse uniquement
جانت بي واچچ نا چي گوددي گي,Jant bi wàcc na ci guddi gi,jant bi wàcc na ci guddi gi,Casse uniquement
"كو يێەنەە بيندال, نەتتالي لا ني خەو-خەو يوويو دەمە ووون تەمبە.","ko yéenee bindal, nettali la ni xew-xew yooyu deme woon tembe.","ké yéenee bindal, nettali la ni xew-xew yooyuddimbo.N tembe.",Erreur linguistique / structurelle
"موي نەلاو واللا موي خوول, گوددي مباا","Muy nelaw walla muy xool, guddi mbaa","yuy nelaw walla muy xool, guddi mbaa",Erreur linguistique / structurelle
«داماا ڽێو ڠير يندي سافارا سي چي,«Damaa ñëw ngir indi safara si ci,«Damaa ñëw ngir yidi safara si ci,Erreur linguistique / structurelle
باننەەخام,bànneexam,banneexam,Diacritique uniquement
ماتتوم,mattum,màttum,Diacritique uniquement
"دێكك يەروسالەم اك دييواانو يودە, اك واا دەخو يوردان.","dëkk Yerusalem ak diiwaanu Yude, ak waa dexu Yurdan.","dëkk Yerusalem ak diiwaanu Yude, ak waa dexu yurdan.",Casse uniquement
ندابب لو خەەڽ لو ڽوي واخ ميير.,ndàbb lu xeeñ lu ñuy wax miir.,Ndàbb lu xeeñ lu ñuy wax Miyr.,Erreur linguistique / structurelle
ويچچاخ,wiccax,wcccax,Erreur linguistique / structurelle
"ماگگ? يونەنت يي يتام فااتو ناڽو. وااو, لوو تەگ سا بوپپ?»","màgg? Yonent yi itam faatu nañu. Waaw, loo teg sa bopp?»","yàgg? yonent yi itam faatu nañu. Woa , lu teg sa bopp?»",Erreur linguistique / structurelle
نداختە چي ساما بيير خول يوونو ياللا وي نەەخ نا ما.,Ndaxte ci sama biir xol yoonu Yàlla wi neex na ma.,ndaxte ci sama biir xol yoonu Yàlla wal,Erreur linguistique / structurelle
"دوگگ چي گاال, دي جالل دەخ گي,","dugg ci gaal, di jàll dex gi,","dugg ci gaal, di jall dex gi,",Diacritique uniquement
كي جوت كاددو گي چي سووف سو,Ki jot kàddu gi ci suuf su,ki jot kàddu gi ci suuf su,Casse uniquement
"نيت ڽاا ڠا جاپپوون يەەسو, دي كو","Nit ñaa nga jàppoon Yeesu, di ko","nit ñaa nga jàppoon Yeesu, di ko",Casse uniquement
دەفەووكو,defewuko,defewuku,Erreur linguistique / structurelle
بي ڽو چا تەگەە لوي توللووك ايو-بێس,Bi ñu ca tegee luy tollook ayu-bés,Bi ñu ca tegee luy tollook ayu--bés,Ponctuation uniquement
نوييوو,nuyyoo,Nuyyoo,Casse uniquement
"ماي نەكك اددينا, ڠير ڽو فەەس اك ساما مبێگ.","may nekk àddina, ngir ñu fees ak sama mbég.","may nekk addina, ngir ñu fees ak sama mbég.",Diacritique uniquement
فوڽ,foñ,fuñ,Erreur linguistique / structurelle
"بو ساما كيليفتەەف نەككوون اددينا, ساما سورگا","Bu sama kilifteef nekkoon àddina, sama surga","Bu sama kilifteef nekkoon addina, sama surga",Diacritique uniquement
"لو ڠەەن ڽاان چي ساما تور, ماا كوي دەف.","Lu ngeen ñaan ci sama tur, maa koy def.","lu ngeen ñaan ci sama tur, maa koy def.",Casse uniquement
"بااي با, جوت نا. كو بێگگ ڽوڽام","Baay ba, jot na. Ku bëgg ñoñam","baay ba, jot na. Ku bëgg ñuñam",Erreur linguistique / structurelle
مووما,muuma,mooma,Erreur linguistique / structurelle
بي ما بااي بي سێدد?»,bi ma Baay bi sédd?»,bi ma baay bi sédd?»,Casse uniquement
"خەەج, جام كو كو چي وەت, چا","xeej, jam ko ko ci wet, ca","xeej, jam ku ko ci wet, ca",Erreur linguistique / structurelle
واايە ياخيا يەدد نا ەرودد بورووم دييواانو,Waaye Yaxya yedd na Erodd boroom diiwaanu,waaye Yaxya yedd na Erodd boroom diiwaanu,Casse uniquement
مان ا دەم اي اتي ات; نوپپالال,man a dem ay ati at; noppalal,man a dem ay àti at; noppalal,Diacritique uniquement
"ڽيببي ناڽو, بەنن مالااكام بورووم بي فەەڽو","ñibbi nañu, benn malaakam Boroom bi feeñu","Ñibbi nañu, benn malaakam boroom bi feeñu",Casse uniquement
"نە كو: «ساڠ بي, سوو كو بێگگەە, مان ڠا ماا فاج.»","ne ko: «Sang bi, soo ko bëggee, man nga maa faj.»","ye ko: «Sang bi, suu ko bëggee, man nga maa faj.»",Erreur linguistique / structurelle
تێەن,téen,éeen,Erreur linguistique / structurelle
"ياللا تاكك ناگ, بو كو نيت تاس.»","Yàlla takk nag, bu ko nit tas.»","yalla takk nag, bu ko nit tas.»",Casse + diacritique
"فووگە, نداختە نو ڠي چي يوور-يوور رەكك.","fooge, ndaxte nu ngi ci yoor-yoor rekk.","fooge, ndaxte nu ngi ci yuur-yoor rekk.",Erreur linguistique / structurelle
"مولوگ اك بيددييووب رەفان,بي ڽو داان بوككاالەەل","Molog ak biddiiwub Refan,bi ñu daan bokkaaleel","Mullug ak biddiiwub refan,bi ñu daan bokkaaleel",Erreur linguistique / structurelle
يومي,yumi,yomi,Erreur linguistique / structurelle
"بێراب بو مو يەللوووول; كيي جاڠ, نا","bérab bu mu yelloowul; kiy jàng, na","bérab bu mu yellooul; kiy jàng, na",Erreur linguistique / structurelle
واروگارو كێر ياللا گا ڽێو چي پييەەر,warugaru kër Yàlla ga ñëw ci Piyeer,warugaru kër Yàlla ga ñëw ci piyeer,Casse uniquement
باككاارو كەنن نيت تاخ نا دەە تاببي,Bàkkaaru kenn nit tax na dee tàbbi,bàkkaaru kenn nit tax na dee tàbbi,Casse uniquement
ديمباليكات بي دو ڽێو چي يێەن; واايە,Dimbalikat bi du ñëw ci yéen; waaye,dimbalikat bi du ñëw ci yéen; waaye,Casse uniquement
"كو دوگگال چيگ كامب, واللا دي چي","ko duggal cig kàmb, walla di ci","ku duggal cig kàmb, walla di ci",Erreur linguistique / structurelle
"اك ساا, يي بااي بي دوگال چي","ak saa, yi Baay bi dogal ci","ak saa, yi baay bi dugal ci",Erreur linguistique / structurelle
مو تونتو لەەن نە: «واختو وي ڽو,Mu tontu leen ne: «Waxtu wi ñu,mu tontu leen ne: «Waxtu wi ñu,Casse uniquement
"فو ڠەەن بوكك. يێەن ڽێپپ سورەلەەن ما, دەفكاتي لو بون يي!”","fu ngeen bokk. Yéen ñépp soreleen ma, defkati lu bon yi!”","fu ngeen bokk. Yéen ñépp sureleen ma, defkati lu bon yi!”",Erreur linguistique / structurelle
ڠەەن خاار لي بااي بي ديگە ووون,ngeen xaar li Baay bi dige woon,ngeen xaar li baay bi dige woon,Casse uniquement
"سوول دێگگەە, ڽو سيب كو با خوتتي","Sool déggee, ñu sib ko ba xotti","sool déggee, ñu sib ko ba xotti",Casse uniquement
ني ما بااي بي دي ديگالە رەكك,Ni ma Baay bi di digale rekk,ni ma baay bi di digale rekk,Casse uniquement
چي خام? نداخ دينا ڽێو چي ماگگال گي واللا دێەت?»,ci xam? Ndax dina ñëw ci màggal gi walla déet?»,yi xam? Ndax dina ñëw ci màggal gi wàlla déet?»,Erreur linguistique / structurelle
"واخ مبورو يا امول لاويير, تااليبە يي","wax Mburu ya amul lawiir, taalibe yi","wax mburu ya amul lawiir, taalibe yi",Casse uniquement
وي,wi,yuy,Erreur linguistique / structurelle
"ڽاان نە: «ساما بااي, بو مانەە ام,","ñaan ne: «Sama Baay, bu manee am,","ñaan ne: «Sama baay, bu manee am,",Casse uniquement
يا اك فاريسەن يا لااج لەەن نە: «لو تاخ ينديوولەەن كو?»,ya ak Farisen ya laaj leen ne: «Lu tax indiwuleen ko?»,ya ak Farisen ya laaj leen ne: «Lu tax yidooleen ko?»,Erreur linguistique / structurelle
يوم,yum,yom,Erreur linguistique / structurelle
تێەرەب,téereb,éeereb,Erreur linguistique / structurelle
"اك سەەن مورووم, با راو ڽي بوكك چي لەەرو ياللا.»","ak seen moroom, ba raw ñi bokk ci leeru Yàlla.»","yak seen moroom, ba raw ñi bokk ci leeru Yàlla.»",Erreur linguistique / structurelle
نوونو دوومو نيت كي مووي بورووم بێسو نوفلااي بي.»,Noonu Doomu nit ki mooy boroom bésu noflaay bi.»,Noonu doomu nit ki mooy boroom bésu noflaay bi.»,Casse uniquement
كو نەكك چي جورۆوم-ڽاار ڽي ماس نا كوو تاكك?»,ku nekk ci juróom-ñaar ñi mas na koo takk?»,yu nekk ci juróom-ñaar ñi mas na koo takk?»,Erreur linguistique / structurelle
"نا بانني يسراييل اب ديير, با بێس","na bànni Israyil ab diir, ba bés","na banni Israyil ab diir, ba bés",Diacritique uniquement
"واايە بو فەككەە نە ندوگالو ياللا لا,","Waaye bu fekkee ne ndogalu Yàlla la,","Waaye bu fekkee ne ndugalu Yàlla la,",Erreur linguistique / structurelle
"ساما خەل چي مووم,موي يێگال خەەت يي يوونو نجوب.","sama Xel ci moom,muy yégal xeet yi yoonu njub.","sama xel ci moom,muy yégal xeet yi yoonu njub.",Casse uniquement
"واايە اندول اك مووم, با كەرا مو موچچ.","Waaye àndul ak moom, ba kera mu mucc.","waaye àndul ak moom, ba kera mu mucc.",Casse uniquement
"موي ڽي جاڠ ني گەرەگ يي, موي","muy ñi jàng ni Gereg yi, muy","Muy ñi jàng ni gereg yi, muy",Casse uniquement
چاللالاي,càllalay,callalay,Diacritique uniquement
دوون ووتتو الالو ەرودد; اك سوسانن اك,doon wottu alalu Erodd; ak Susànn ak,doon wuttu alalu Erodd; ak sosann ak,Erreur linguistique / structurelle
لامب,làmb,lamb,Diacritique uniquement
"فەەباروون, باي بێگگ ا دەە.","feebaroon, bay bëgg a dee.","feebaruon, bay bëgg a dee.",Erreur linguistique / structurelle
ناندال,nàndal,nandal,Diacritique uniquement
يێرێي,yéréy,yérëy,Diacritique uniquement
تااليبە يي نە كو: «لێەگي ياا ڠي,Taalibe yi ne ko: «Léegi yaa ngi,taalibe yi ne ko: «Léegi yaa ngi,Casse uniquement
"نوونو خارەكات يا دەم, دامم تانكي كو","Noonu xarekat ya dem, damm tànki ku","Noonu xarekat ya dem, dàmm tànki ku",Diacritique uniquement
"نە دوڽو دەە, تە گيسوڽو دوومو نيت كي ڽێو چي ڠوورام.»","ne duñu dee, te gisuñu Doomu nit ki ñëw ci nguuram.»","ne duñu dee, te gisuñu doomu nit ki ñëw ci nguurci nguuram.»",Erreur linguistique / structurelle
